baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
3801.402280809328,-0.5722666466395132,0.059504807784942965,-9.617149738685804,6.7680562879607e-22,2.5066875140595186e-21,ZBTB44
2749.426520129359,-0.44050391485876106,0.06410878948101634,-6.871193769603176,6.366684212200127e-12,1.4469736845909381e-11,NR2C2
831.1848572749237,-1.081318909946575,0.08475521456700605,-12.758140197871866,2.8082595263848175e-37,1.6519173684616575e-36,FLT4
0.9305657023183673,0.5002061358959162,0.42839212735654925,1.1676361537792603,0.24295356038466548,0.2699484004274061,FBXO47
3427.7041793052317,-0.18810527614213432,0.08719598639246673,-2.157269891936054,0.030984641493602222,0.039723899350772085,ELL2
27.040743979899858,1.3283308428904976,0.3370425142490584,3.9411373542891512,8.109616970834937e-5,1.3516028284724896e-4,DDC
1194.1507003523586,1.0387913291814785,0.07368374447766508,14.097971493513818,3.9084355904397315e-45,2.605623726959821e-44,INCENP
1468.0467650044234,0.9084325781409355,0.05348587568714634,16.984532205373405,1.0690254608059867e-64,9.718413280054425e-64,TFB2M
32.015382412074295,-0.204041272487842,0.12197593993454797,-1.6727993454883818,0.09436680377726196,0.11369494430995418,ARHGEF33
27.374817560634877,-0.9299574002487788,0.14068938679148127,-6.610003934604452,3.8430980952928286e-11,8.176804458069848e-11,RNF112
10493.34596177212,0.39126539906914065,0.07961785019122045,4.914292437304291,8.910366697358742e-7,1.6500679069182857e-6,AMFR
0.576756175375699,0.9896411326693741,0.40132377323129514,2.4659419617761187,0.013665347430933516,0.018196879685901626,FAM47A
266.7713285108313,-0.17348098578988053,0.0767583901056407,-2.2600915098808465,0.023815571967513556,0.0309293142435241,CEP152
30.560261174288488,0.3361994970880951,0.2023108875387876,1.6617963629052739,0.09655361175981796,0.11494477590454519,FAM69C
2428.1856580538974,-1.0586710128593069,0.08646375669578166,-12.244101497743005,1.806667846559608e-34,1.0037043591997821e-33,RPS6KA3
1.7142466199626532,2.3151146936716565,0.1932070705485762,11.982556782721828,4.3858516141655474e-33,2.1929258070827738e-32,RXFP3
2651.2437167050025,-0.060971954752366754,0.05951365830249951,-1.02450355920745,0.3055974905772247,0.3321711854100268,TESK1
1339.3144131132121,0.45275237308750094,0.0747030907825719,6.060691309349777,1.3553773438895137e-9,2.6576026350774777e-9,CHMP6
8.933968545612865,-2.7191825477348317,0.19415891170648983,-14.00493298935164,1.4541682063192155e-44,9.088551289495096e-44,PRRG3
31752.13481986236,0.23280848708333324,0.06704340475810386,3.4725039386546452,5.1562744618873e-4,7.812537063465607e-4,CD63
7684.9434448155635,-0.2134384911941046,0.03417197263847457,-6.246010245068266,4.2106956852879184e-10,8.421391370575837e-10,SF3A1
200.06714751728816,-1.6735024886314163,0.18870631675905342,-8.868290777823832,7.427716399629718e-19,2.4759054665432393e-18,RIC3
2226.8360603837887,-1.4177672673303252,0.14027754018583755,-10.106872885367741,5.150194986344848e-24,1.9808442255172493e-23,NCALD
0.09642200986961273,0.2187811075701659,0.8458072435420416,0.2586654456326977,0.7958933827590711,0.8205086420196608,PFN3
467.45754786269316,0.23790414989154637,0.07245976409461187,3.2832586865851665,0.0010261445562039899,0.0015090361120646911,TMEM106A
233.80750718417588,-0.9543165285496262,0.13370107551603824,-7.1376877475839775,9.491393531886833e-13,2.207300821369031e-12,NFATC2
1453.436911431888,0.19862889584174392,0.05570661435807981,3.5656249824296555,3.6299012256352773e-4,5.761747977198853e-4,ZNHIT6
2948.4568346518945,0.05857134885628799,0.04369203167422041,1.3405499037676203,0.18006663151574162,0.20697313967326622,HDAC6
410.285667077367,-0.30770530105512145,0.11775514863459521,-2.613094243632256,0.008972655609530793,0.01212521028314972,GATA6
2.072012717557325,-0.3870512814929092,0.44059341595725915,-0.8784772252031475,0.3796847918606433,0.4039199913411099,STOML3
210.2406753260579,2.2226478638312708,0.26516797318881336,8.382037382201622,5.20193068027257e-17,1.4862659086493057e-16,KNDC1
383.16291111430525,-0.1858743921487397,0.08859399777087251,-2.098047235992894,0.03590097288072285,0.04544426946926944,CCDC146
17895.971898999735,0.2611704094699611,0.08202166384827436,3.184163758895216,0.0014517285922042622,0.0020738979888632316,SDC4
21.16756454669104,1.9035037065538098,0.29805880301004883,6.3863361435080135,1.6990730470673795e-10,3.4674960144232236e-10,VNN3
2.8462409678949485,1.8922946262264801,0.236037509666393,8.016923364854094,1.0842672230965684e-15,2.7801723669142782e-15,GALR2
110.90193273175265,0.10448167625729667,0.16230785288325283,0.6437253306064604,0.5197535610770294,0.5414099594552391,MYOZ3
1828.7009236029182,0.33286930571726486,0.06103291981961381,5.453930546024647,4.926845173827095e-8,9.295934290239801e-8,EBAG9
232.77421952521158,-0.5453399719062372,0.060358128590974586,-9.035070911522304,1.6389613303749768e-19,5.651590794396472e-19,ZNF345
7047.993675101128,0.7371051263506515,0.06464480020952565,11.402388497784179,4.068026449714553e-30,1.8491029316884332e-29,CDK4
10645.116255239305,0.11458359275400491,0.07582155977965041,1.5112270584646792,0.1307306106665173,0.15201233798432245,ACSL3
65.84970810268727,0.599554323568901,0.20872477946684112,2.8724635623062125,0.004072850442065561,0.0056567367250910565,CYP27C1
15.412195034790965,1.1655590368334752,0.14793996496684642,7.878594787383374,3.310832889054928e-15,8.27708222263732e-15,CAMK1G
203.5761261394679,3.027917492114615,0.20186747796832044,14.999530992257174,7.393994224536212e-51,5.687687865027855e-50,ENTPD8
0.43308957027582407,-0.3429927215820286,0.4480243924586697,-0.7655670703547011,0.44393394435022265,0.46729888878970804,OR2C3
