,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,up_down
15,1.7142466199626532,2.3151146936716565,0.1932070705485762,11.982556782721828,4.3858516141655474e-33,2.1929258070827735e-32,RXFP3,up
18,8.933968545612865,-2.719182547734832,0.1941589117064898,-14.00493298935164,1.4541682063192157e-44,9.088551289495096e-44,PRRG3,down
30,210.2406753260579,2.2226478638312708,0.2651679731888133,8.382037382201622,5.2019306802725705e-17,1.4862659086493055e-16,KNDC1,up
42,203.5761261394679,3.027917492114615,0.2018674779683204,14.999530992257174,7.393994224536212e-51,5.687687865027855e-50,ENTPD8,up
47,1.600461796008945,2.476251402215185,0.6664331472603024,3.715678627923927,0.0002026590331838656,0.00032686940836107345,KCNK16,up
66,45.80969324139921,2.625069242963886,0.4026712378412159,6.519137689191056,7.071272189784945e-11,1.4731817062051967e-10,KLK12,up
72,86.30529353334002,-2.943874472397458,0.1620922807023463,-18.161719112357737,1.0372518739404912e-73,1.4817883913435588e-72,BMX,down
76,453.6059042914654,-3.0005348920701924,0.1540306028851201,-19.480121715215688,1.6189419414609252e-84,4.047354853652313e-83,SAMD5,down
77,1333.6250252684213,2.8308404667307614,0.1208712200417642,23.42030191928757,2.6546578367842246e-121,1.3273289183921126e-119,FAM111B,up
82,402.0033464575856,2.2430577368664184,0.1257669558941116,17.83503242898668,3.778304237515443e-71,4.198115819461603e-70,BRIP1,up
98,73.59740600674408,-3.3999698250722123,0.1140387434539232,-29.814164222582413,2.559987015849748e-195,2.5599870158497475e-193,NAALAD2,down
